,epoch,active_dice_CSF,active_dice_GM,active_dice_WM,active_loss,levelset_loss,loss,lr,val_active_dice_CSF,val_active_dice_GM,val_active_dice_WM,val_active_loss,val_levelset_loss,val_loss
0,1,0.8944152593612671,0.8356208801269531,0.7150512337684631,0.05887832865118981,355566.96875,0.05923398584127426,0.0005,0.934075653553009,0.8892538547515869,0.8160800933837891,0.04746457189321518,1203925.5,0.048668500036001205
1,2,0.9492640495300292,0.8986485004425049,0.837101399898529,0.030880000442266464,355305.46875,0.03123535215854645,0.0005,0.952063262462616,0.9111992716789246,0.8563439249992371,0.03587543219327926,1204028.5,0.037079449743032455
2,3,0.9602806568145752,0.9175235629081726,0.8713931441307068,0.024027885869145397,355275.84375,0.024383168667554852,0.0005,0.961602747440338,0.9265515804290771,0.8827661275863647,0.02808108925819397,1203921.375,0.0292850024998188
3,4,0.9646236896514891,0.9254791140556335,0.8847364783287048,0.02115210704505444,355265.28125,0.02150738425552845,0.0005,0.9647626876831056,0.9298881292343141,0.8936760425567627,0.02598175033926964,1204154.875,0.027185913175344467
4,5,0.9668196439743042,0.9297296404838562,0.8916008472442627,0.01982683688402176,355262.90625,0.02018215693533421,0.0005,0.9656165242195128,0.9341686964035034,0.9025250077247621,0.024090658873319626,1204179.625,0.02529483661055565
5,6,0.9695692658424376,0.934645652770996,0.8984980583190918,0.018190814182162285,355264.28125,0.018546087667346,0.0005,0.9666901230812072,0.939461588859558,0.90629780292511,0.02211953513324261,1203782.25,0.023323317989706997
6,7,0.9711324572563172,0.9375565052032472,0.9026144742965698,0.0171379242092371,355257.3125,0.017493199557065964,0.0005,0.9701863527297974,0.9421049356460572,0.9086862206459044,0.02088130638003349,1203922.75,0.02208523266017437
7,8,0.9713779091835022,0.9375888109207152,0.9047902822494508,0.01672404259443283,355258.59375,0.01707926206290722,0.0005,0.9700273275375366,0.9427461624145508,0.9150762557983398,0.020546287298202515,1203889.875,0.02175017818808556
8,9,0.9730784893035888,0.9412854909896852,0.9092109203338624,0.015857484191656113,355259.09375,0.016212765127420425,0.0005,0.9724568724632264,0.94613116979599,0.9180161356925964,0.01900581456720829,1203952.75,0.02020976133644581
9,10,0.9738221764564514,0.9423609375953674,0.9109195470809937,0.015392071567475797,355255.6875,0.015747355297207832,0.0005,0.9729683995246888,0.9471043944358826,0.921905279159546,0.018412323668599132,1203911.875,0.01961622759699821
10,11,0.9744988083839417,0.943775475025177,0.91328626871109,0.014991511590778828,355254.65625,0.015346742235124113,0.0005,0.9736461043357848,0.948521077632904,0.92229163646698,0.017674166709184647,1203929.125,0.018878096714615825
11,12,0.9750129580497742,0.944758117198944,0.9144489169120787,0.014661003835499287,355254.875,0.015016270801424982,0.0005,0.9748191237449646,0.9504423141479492,0.924290120601654,0.016961267217993736,1203893.0,0.018165158107876774
12,13,0.9754742980003356,0.9457038044929504,0.9162359237670898,0.014382022432982922,355257.375,0.01473729219287634,0.0005,0.9741133451461792,0.9499614238739014,0.925409197807312,0.017112275585532192,1203904.125,0.018316177651286125
13,14,0.9759234189987184,0.9465885758399964,0.9178285002708436,0.01411924697458744,355256.5625,0.014474504627287388,0.0005,0.9747616648674012,0.9512043595314026,0.9279377460479736,0.016389070078730583,1203811.875,0.017592880874872208
14,15,0.9762889742851256,0.9470698237419128,0.918777585029602,0.013899287208914757,355254.15625,0.014254551380872725,0.0005,0.9750146865844728,0.9518349766731262,0.9289003610610962,0.016254397109150887,1204094.75,0.01745849475264549
15,16,0.9766300320625304,0.9474472999572754,0.9198567867279052,0.013691411353647707,355254.53125,0.014046644791960716,0.0005,0.97632896900177,0.952893316745758,0.9282827973365784,0.015985224395990368,1203993.0,0.01718921959400177
16,17,0.9769333004951476,0.9483025670051576,0.9213236570358276,0.01350252702832222,355260.3125,0.013857772573828695,0.0005,0.9767828583717346,0.9533544182777404,0.93080073595047,0.01563713699579239,1203967.75,0.01684110425412655
17,18,0.9772099256515504,0.9489076137542723,0.9219285249710084,0.0133318230509758,355252.53125,0.013687068596482277,0.0005,0.9771041274070741,0.9550794363021852,0.9327398538589478,0.015247033908963203,1204008.625,0.016451044008135796
18,19,0.976751983165741,0.9484107494354248,0.921858012676239,0.013421680778265,355257.09375,0.013776949606835842,0.0005,0.9773852229118348,0.9562793374061584,0.9335308074951172,0.014907517470419409,1203916.625,0.016111431643366814
19,20,0.9775962829589844,0.9496236443519592,0.9234365820884703,0.01306299399584532,355254.1875,0.013418259099125862,0.0005,0.9784163236618042,0.9560391306877136,0.9341341853141784,0.014603426679968834,1204003.25,0.01580742746591568
20,21,0.9778671860694884,0.9501324892044068,0.9241865873336792,0.012895403429865835,355255.90625,0.013250663876533508,0.0005,0.978519082069397,0.9569569230079652,0.9349456429481506,0.014367981813848019,1204015.875,0.015572002157568932
21,22,0.9783166646957396,0.9509913325309752,0.9253038167953492,0.012675298377871513,355258.03125,0.013030554167926313,0.0005,0.9788112044334412,0.9571174383163452,0.9344740509986876,0.014344463124871254,1203926.375,0.015548388473689556
22,23,0.9786147475242616,0.9514290690422058,0.9261429905891418,0.012498371303081512,355254.09375,0.01285361032932997,0.0005,0.9794787764549256,0.957986295223236,0.9361579418182372,0.013766419142484665,1203965.625,0.014970390126109125
23,24,0.9788385629653932,0.951824188232422,0.9267436861991882,0.012365129776299,355253.34375,0.012720409780740738,0.0005,0.9783356785774232,0.9576375484466552,0.937544286251068,0.013974367640912531,1203923.875,0.015178288333117962
