,epoch,active_dice_CSF,active_dice_GM,active_dice_WM,active_loss,levelset_loss,loss,lr,val_active_dice_CSF,val_active_dice_GM,val_active_dice_WM,val_active_loss,val_levelset_loss,val_loss
0,1,0.6672397255897522,0.6910465955734253,0.5099916458129883,0.14485855400562286,166978.640625,0.14502546191215515,0.001,0.8850421309471129,0.8243914842605591,0.6344553232192993,0.08519284427165985,1201735.125,0.08639458566904068
1,2,0.8035302758216858,0.779776930809021,0.6556061506271362,0.09324110299348833,164428.625,0.0934055969119072,0.001,0.9124764800071716,0.8423855900764465,0.6752849817276001,0.0700819343328476,1200711.25,0.07128263264894485
2,3,0.8437833189964294,0.8114253878593445,0.7111466526985168,0.07391980290412903,162302.703125,0.07408218085765839,0.001,0.9273715615272522,0.8706036210060121,0.7763376235961914,0.05641297996044159,1199853.875,0.05761285126209259
3,4,0.8639290332794191,0.8302762508392334,0.7434160113334656,0.06590015441179277,163509.6875,0.06606359779834747,0.001,0.9338197112083436,0.8815551996231079,0.800507664680481,0.05069064348936081,1199789.125,0.05189041048288345
4,5,0.8798395991325378,0.8439408540725708,0.7693760991096497,0.058743495494127274,162405.0,0.058905992656946175,0.001,0.937750518321991,0.8863559365272522,0.8032611608505249,0.04819484055042267,1199876.875,0.04939471930265426
5,6,0.8975927829742432,0.8603022694587708,0.7957528233528137,0.05132797732949257,164380.515625,0.05149240791797638,0.001,0.9417537450790404,0.8951615691184998,0.8343070149421692,0.043211061507463455,1199664.875,0.04441073164343834
6,7,0.8926596641540527,0.8563895225524902,0.7920547723770142,0.054166506975889206,164113.34375,0.05433064326643944,0.001,0.9261159896850586,0.8632708787918091,0.7711264491081238,0.05944135040044785,1200791.5,0.06064212694764137
7,8,0.909138798713684,0.8724634647369385,0.8118617534637451,0.046758804470300674,163849.625,0.04692266881465912,0.0005,0.9443162083625792,0.9005168676376343,0.8456319570541382,0.03990501537919045,1199705.875,0.04110471159219742
8,9,0.9137991666793824,0.8777769804000854,0.8205882906913757,0.04412933439016342,162516.046875,0.04429185763001442,0.0005,0.9456815123558044,0.8974331617355347,0.8431529402732849,0.04026179760694504,1200170.125,0.041461966931819916
9,10,0.9159875512123108,0.8813432455062866,0.8268160820007324,0.04207486286759377,162417.875,0.0422373004257679,0.0005,0.9502002000808716,0.9087114930152892,0.8605045080184937,0.035856161266565316,1199625.625,0.037055782973766334
10,11,0.9220668077468872,0.8873323202133179,0.8340156674385071,0.0399310439825058,166390.640625,0.04009739682078362,0.0005,0.9537899494171144,0.9102306962013244,0.8630566000938416,0.034713760018348694,1199796.25,0.035913556814193726
11,12,0.925507128238678,0.8916438221931458,0.8405476808547974,0.038170933723449714,163951.6875,0.038334835320711136,0.0005,0.9541350007057191,0.9120354056358336,0.8660179376602173,0.03307361528277397,1199964.875,0.034273575991392136
12,13,0.9171262383461,0.8854265809059143,0.8357757329940796,0.039537359029054635,168952.96875,0.039706286042928696,0.0005,0.9529507160186768,0.9156156182289124,0.8725070953369141,0.031826939433813095,1199764.625,0.033026698976755135
13,14,0.9251428842544556,0.8929687738418579,0.8455530405044556,0.037072401493787766,162270.953125,0.03723468258976936,0.0005,0.9564689993858336,0.9183381199836732,0.871501088142395,0.03054499253630638,1199801.625,0.03174479305744171
14,15,0.9268378019332886,0.8955031037330627,0.8484140634536743,0.03605898097157478,162700.4375,0.036221712827682495,0.0005,0.9575166702270508,0.9197568893432616,0.8736547827720642,0.029672764241695408,1199748.875,0.030872520059347156
15,16,0.9307012557983398,0.8998289704322815,0.8549109101295471,0.034470796585083015,162967.5625,0.034633759409189224,0.0005,0.9568490982055664,0.9205484390258788,0.8829647898674011,0.02909228950738907,1199611.0,0.030291905626654625
16,17,0.930321991443634,0.9006934762001038,0.8574110865592957,0.033787429332733154,163522.46875,0.033950947225093835,0.0005,0.9610208868980408,0.923478364944458,0.8823503255844116,0.027595559135079384,1199927.75,0.02879548445343972
17,18,0.9326070547103882,0.9028427600860596,0.860555112361908,0.03308286890387535,163164.046875,0.03324604406952858,0.0005,0.962433695793152,0.9268032908439636,0.8859307169914246,0.02658373862504959,1199857.625,0.027783598750829697
18,19,0.9338780045509338,0.9049345254898072,0.8644806742668152,0.03214066103100777,161845.921875,0.03230256959795952,0.0005,0.9623498320579528,0.9272823929786682,0.8855865001678467,0.026080427691340446,1199763.875,0.027280190959572792
19,20,0.931299924850464,0.9024494290351868,0.8621687889099121,0.03235101327300072,161001.375,0.032512009143829346,0.0005,0.9627864360809326,0.9271988272666932,0.8949459791183472,0.025864200666546818,1199826.75,0.02706402726471424
20,21,0.9345163702964784,0.9065677523612976,0.8666771054267883,0.03144385293126106,163624.515625,0.0316074974834919,0.0005,0.963886559009552,0.9299141764640808,0.8961884379386902,0.02483390644192696,1199879.75,0.026033787056803703
21,22,0.9370116591453552,0.9102789759635924,0.8722215890884399,0.03025285713374615,163668.15625,0.030416501685976982,0.0005,0.9639836549758912,0.9310645461082458,0.8958925008773804,0.02442010119557381,1199917.625,0.02562001720070839
22,23,0.9306060671806335,0.9054188132286072,0.8673075437545776,0.031138572841882706,176065.28125,0.031314566731452935,0.0005,0.9614242315292358,0.9298670887947084,0.9003859162330627,0.024198774248361588,1199701.875,0.025398483499884602
23,24,0.9386229515075684,0.9126161932945251,0.8755158782005309,0.02923833392560482,163650.59375,0.02940200082957745,0.0005,0.963740885257721,0.9319533109664916,0.9014071226119996,0.023621689528226845,1199740.125,0.024821434170007702
